embedding_x,embedding_y
-6.319641,9.709103
12.785298,13.00347
7.384597,19.186598
14.492849,2.4896898
0.5091724,0.28824902
4.1977797,14.945003
5.9120107,18.281065
3.4134154,16.834581
7.6197805,16.950357
14.676129,3.3194737
-6.654604,10.39353
10.99917,12.433791
7.94408,17.199423
-0.6368891,1.8537203
6.3184066,14.131029
7.89161,17.112438
14.934815,-11.337006
5.0316677,21.528015
-6.6216254,10.443846
7.7089834,17.46414
7.5840826,17.821707
4.5681887,20.526196
4.526741,17.000046
5.8967338,20.23534
6.1387725,14.831386
-6.6262517,10.427907
4.6697545,13.814158
12.843924,1.6963006
14.523173,3.2940657
-6.752935,10.114657
6.8990397,17.115028
5.674134,13.409592
4.7385054,21.480795
-6.6654096,10.372978
0.47614977,0.32226607
4.900558,19.86874
7.9131513,17.163574
3.6808522,15.470668
5.8518424,16.5306
-6.8382764,9.995269
7.709333,17.718222
4.2859874,3.7887537
5.985073,16.255177
-0.5896165,2.7962391
12.281452,12.153112
7.081359,12.492797
-6.801187,10.078002
7.5706587,16.884336
11.757079,12.796512
3.2130225,4.101946
21.834553,9.796202
13.634177,1.959702
8.236637,12.963954
7.4895687,19.53118
6.873503,19.932781
-6.6598454,10.374076
21.710371,9.773486
4.6323104,13.72251
7.3618145,17.788786
3.2938242,4.058253
-6.624807,10.408478
6.2562346,12.7658
5.2179036,20.775562
-6.7038736,10.330069
5.2887855,21.419804
-6.771483,10.23197
7.6818056,16.932508
13.967548,2.2123425
7.5906296,16.873999
-4.782879,7.6609583
6.0477514,14.69374
6.6677623,17.637663
-6.6135073,10.427574
-6.636747,10.385877
-6.6124525,10.433348
14.291546,4.340818
-0.40381542,1.4073651
7.3154125,17.41489
7.2392573,18.675663
2.530066,14.908227
-6.5971837,10.448138
14.588243,4.0770326
-6.49438,10.163901
-6.8159757,10.040989
0.2601142,0.550657
6.995562,20.6524
6.848331,21.959816
12.74551,12.014692
7.7818727,17.508762
5.741944,14.473876
6.758359,3.1388955
14.626379,2.6108491
5.7060237,18.921648
-6.7579474,10.251624
4.642204,14.20034
-6.6849027,10.339101
7.4502497,16.851074
-4.7835584,7.6596045
8.100472,2.8955894
0.17175683,3.6438286
5.6909986,19.136366
-6.613792,10.416597
-6.8018785,10.210494
5.8881373,18.963018
7.6761723,20.052517
4.2777224,20.554943
-0.379952,1.3690369
5.57,18.7652
-6.733545,10.286545
-6.6026893,10.432331
6.7065816,14.274913
-6.7109394,10.311995
4.7635727,21.05947
-6.610092,10.426654
3.6459389,15.519196
7.324774,18.56066
7.603612,20.05199
-6.67129,10.359323
7.507008,17.745363
6.099375,17.411201
5.717208,17.564253
5.5642557,19.900248
2.7673337,4.1948414
5.369672,19.065422
4.7033153,20.030907
6.2274632,17.436544
4.599016,15.6139965
-6.612421,10.421734
0.55016094,3.8553436
4.358596,13.713877
-6.6575193,10.368947
5.782303,18.310246
-0.21453682,1.1363828
13.856122,2.0689166
6.721804,21.253845
4.1267614,3.8002663
7.4363537,19.48949
-6.7546372,10.265967
-6.6479325,10.378596
4.0579143,14.644331
